Filtered_miRNA_Reads	Unique_miRNAs	groups
757131	340	Immune
2276833	461	Immune
3773230	514	Immune
3778115	550	Immune
2754373	446	Immune
1374896	399	Immune
1376030	384	Immune
294606	249	Immune
975078	370	Immune
2149816	447	Immune
1469967	405	Immune
1212672	410	Immune
2987331	512	Immune
1700644	468	Immune
2122239	619	Immune
2711409	543	Immune
1149835	429	Immune
3138305	520	Immune
2190264	502	Immune
1792631	433	Immune
2351469	482	Immune
2691414	472	Immune
1570249	419	Immune
1803895	452	Immune
1650696	418	Immune
3144714	506	Immune
1880338	439	Immune
3303560	548	Immune
1638162	417	Immune
56628	112	Immune
89346	114	Immune
317961	184	Immune
1284122	407	Immune
490315	314	Immune
1074795	410	Immune
1798425	514	Immune
132616	212	Immune
1284376	398	Immune
189146	254	Immune
2333653	462	Immune
513913	295	Immune
932806	381	Immune
2294914	447	Immune
942612	365	Immune
1337948	433	Immune
1916982	454	Immune
583439	302	Immune
2009110	453	Immune
2691204	499	Immune
539039	320	Immune
557661	337	Immune
2759361	408	Platelet
2343846	397	Platelet
2499556	422	Platelet
1187168	421	Immune
2705622	496	Immune
1176288	453	Immune
2352860	482	Immune
2206661	483	Immune
3751978	562	Immune
2589144	509	Immune
2392982	498	Immune
554629	384	Immune
1609847	442	Immune
1471280	441	Immune
2013417	465	Immune
878252	393	Immune
1610306	431	Immune
1007487	373	Immune
4224656	596	Immune
1140061	413	Immune
3517507	534	Immune
1175667	429	Immune
4223661	560	Immune
1155827	425	Immune
3485486	560	Immune
855543	349	Immune
868022	330	Immune
844683	326	Immune
866659	333	Immune
718160	280	Immune
510198	257	Immune
251343	279	Immune
240597	254	Immune
161582	231	Immune
136842	218	Immune
3781135	595	Immune
3349216	557	Immune
4980100	594	Immune
3714155	528	Immune
3927283	425	Immune
237251	254	Immune
763457	346	Immune
182442	277	Immune
513384	338	Immune
114925	212	Immune
586948	334	Immune
538743	335	Immune
508202	326	Immune
647844	350	Immune
1053228	398	Immune
1173470	411	Immune
410401	316	Immune
2262720	464	Immune
685146	323	Immune
906523	387	Immune
740618	334	Immune
527625	316	Immune
1051470	460	Immune
1694347	450	Immune
815890	400	Immune
2085188	549	Immune
980953	410	Immune
719247	382	Immune
321876	334	Immune
977457	393	Immune
665817	373	Immune
4263215	562	Immune
827868	412	Immune
1782208	448	Immune
955792	373	Immune
1856822	425	Immune
2526947	510	Immune
1587867	475	Immune
2671739	501	Immune
512415	358	Immune
5181775	592	Immune
888953	433	Other
1725649	478	Other
666779	402	Other
792796	389	Other
1159070	428	Other
10631202	453	Other
509231	422	Epithelial
102426	257	Epithelial
277153	361	Epithelial
74767	224	Epithelial
290586	335	Epithelial
189715	314	Epithelial
388502	385	Epithelial
94535	216	Epithelial
26292071	1015	Immune
17895153	870	Immune
22979917	957	Immune
24975511	1024	Immune
20400025	983	Immune
21813988	1013	Immune
10593149	838	Immune
13206362	848	Immune
13717457	867	Immune
15237847	889	Immune
9391030	779	Immune
5386166	674	Immune
8360190	786	Immune
9381411	785	Immune
10078337	838	Immune
8907464	783	Immune
9285054	773	Immune
7308701	836	Immune
6180104	778	Immune
6936459	848	Immune
7110168	842	Immune
9277176	868	Immune
8178672	858	Immune
1002220	448	Immune
1067586	464	Immune
953042	431	Immune
1059070	457	Immune
1147958	465	Immune
1253780	490	Immune
1130397	447	Immune
1207774	484	Immune
1103982	445	Immune
1035145	428	Immune
1446939	494	Immune
1325252	482	Immune
537860	389	Immune
521681	380	Immune
482085	365	Immune
466503	364	Immune
410174	347	Immune
397163	330	Immune
145629	268	Immune
141317	248	Immune
350814	341	Immune
339141	351	Immune
380337	358	Immune
368366	367	Immune
517290	380	Immune
594600	416	Immune
546364	386	Immune
625703	395	Immune
605235	392	Immune
694319	413	Immune
552270	408	Immune
636979	428	Immune
469523	396	Immune
540309	412	Immune
513246	392	Immune
590769	406	Immune
264587	310	Immune
281956	309	Immune
256359	313	Immune
275336	308	Immune
349953	352	Immune
379323	363	Immune
291089	321	Immune
310573	334	Immune
708316	423	Immune
757100	424	Immune
13981925	573	Muscle
9591411	624	Muscle
13407689	570	Muscle
274697	336	Immune
296741	329	Immune
91136	200	Immune
87969	253	Immune
67262	242	Immune
1213268	462	Immune
1225893	471	Immune
1219144	478	Immune
1228948	466	Immune
6926153	647	Stem
8074435	684	Stem
9100539	679	Stem
5977009	620	Stem
7157061	610	Stem
5890780	572	Stem
871842	528	Epithelial
749177	469	Epithelial
867239	470	Epithelial
4539558	938	Stem
5400557	1016	Stem
10927081	1133	Stem
5661199	1041	Stem
9901472	1139	Stem
6853826	1076	Stem
10653920	1137	Stem
11287886	901	Stem
11159324	1209	Stem
8960508	1156	Stem
6493748	1068	Stem
5128220	1032	Stem
9261023	1116	Stem
11542002	989	Stem
506024	584	Stem
801364	636	Stem
815449	636	Stem
727158	630	Stem
4141923	703	Stem
2287236	685	Stem
4518434	833	Stem
2752985	617	Stem
5628823	806	Stem
828563	555	Stem
299906	447	Stem
