Filtered_miRNA_Reads	Unique_miRNAs	groups
8173026	888	Fibroblast
6597548	721	Fibroblast
19640951	885	Endothelial
8056375	847	Other
12696320	872	Epithelial
4778329	648	Fibroblast
21292211	728	RBC
9976793	707	Other
20262777	1243	Brain
8300560	827	Epithelial
7654903	846	Fibroblast
1502813	525	Immune
1500080	528	Immune
2374543	588	Immune
2370418	610	Immune
1713545	537	Immune
1707962	543	Immune
7544899	708	Endothelial
2215034	572	Immune
2210224	565	Immune
2561089	598	Immune
2555452	582	Immune
2861606	628	Immune
2849315	619	Immune
2840145	626	Immune
2833275	613	Immune
3803884	662	Immune
3786683	663	Immune
2464497	594	Immune
2457231	577	Immune
2692310	595	Immune
2680451	574	Immune
2576727	598	Immune
2570060	596	Immune
1449112	540	Immune
1444361	520	Immune
1853154	566	Immune
1848247	549	Immune
3431434	669	Immune
5228926	718	Immune
7923616	759	Immune
5760782	738	Immune
15892961	919	Immune
7965319	776	Immune
7759595	808	Immune
8136645	816	Immune
7573050	797	Immune
13973603	785	Immune
14093089	797	Immune
7859245	681	Immune
11656369	783	Immune
13769866	802	Immune
8158257	717	Immune
14806814	818	Immune
13364746	782	Immune
11940022	775	Immune
9417703	706	Immune
10828149	773	Immune
8861768	723	Immune
271955	305	Immune
285433	311	Immune
271838	297	Immune
292462	306	Immune
722776	379	Immune
781947	388	Immune
714243	370	Immune
752186	379	Immune
940940	454	Immune
626566	384	Immune
776755	427	Immune
455223	321	Immune
13875756	744	Immune
13048168	720	Immune
7116079	654	Immune
10788632	719	Immune
697121	483	Epithelial
644827	462	Epithelial
758372	429	Epithelial
10007762	708	Epithelial
3242418	535	Epithelial
2641878	530	Epithelial
4678411	619	Epithelial
6439915	672	Epithelial
4822478	636	Epithelial
4297275	590	Epithelial
5291296	605	Epithelial
3669255	585	Epithelial
2126179	507	Epithelial
2935429	563	Epithelial
2078529	500	Epithelial
625150	508	Brain
604665	463	Brain
653237	511	Other
644886	508	Other
5305292	828	Other
5519983	837	Other
5516008	809	Other
3506635	519	Stem
6240205	552	Stem
4228795	530	Stem
6043158	629	Stem
729860	408	Stem
999737	419	Stem
8278110	645	Stem
3607455	534	Stem
7378359	669	Stem
8800589	718	Stem
7930485	683	Stem
1654531	467	Stem
790129	375	Stem
7084305	565	Stem
3729255	557	Stem
2274162	516	Stem
6831878	604	Stem
5322953	534	Stem
3592983	592	Stem
10089902	674	Stem
9914109	761	Stem
10049600	736	Stem
1844429	421	Stem
1221308	424	Stem
13838192	736	Stem
5622736	577	Stem
8598768	689	Stem
7585281	568	Stem
11180164	540	Stem
6248930	534	Stem
12577905	768	Stem
7635590	697	Stem
8586737	751	Stem
8289336	753	Stem
276889	444	Stem
61326	249	Stem
1112698	496	Stem
1758102	531	Stem
836419	477	Stem
320104	442	Stem
442484	462	Stem
137078	270	Stem
182604	224	Stem
28958775	886	Stem
28168046	925	Stem
818971	525	Stem
196839	359	Stem
123211	304	Stem
1607616	594	Stem
445392	467	Stem
1479768	518	Stem
883853	445	Stem
976798	459	Stem
314855	441	Stem
157551	232	Stem
1011734	413	Fibroblast
1654376	449	Fibroblast
9369453	827	Fibroblast
21320176	999	Fibroblast
9369453	827	Fibroblast
21320176	999	Fibroblast
8683774	1167	Stem
9338113	1119	Stem
1914707	680	Stem
2444398	789	Stem
3149528	906	Stem
1157505	502	Other
1148835	474	Other
1365955	555	Immune
1032318	523	Immune
1032377	486	Immune
3443431	602	Immune
2655695	584	Immune
21015066	920	Immune
2287276	552	Immune
2471180	586	Immune
6988149	725	Immune
2125491	551	Immune
1653547	488	Immune
2085377	552	Immune
1813811	515	Immune
3097503	600	Immune
2289495	581	Immune
2016212	509	Immune
1333360	495	Immune
114199	226	Immune
115040	221	Immune
113903	226	Immune
113911	226	Immune
830003	476	Immune
2514289	635	Immune
2259352	629	Immune
4316213	789	Immune
3018911	735	Immune
2798576	687	Immune
1352320	577	Immune
5995130	834	Immune
2807585	706	Immune
3940552	783	Immune
5236228	829	Immune
2425064	638	Immune
2060829	634	Immune
2684383	646	Immune
2758044	714	Immune
2496933	699	Immune
2170041	675	Immune
2866388	726	Immune
3330497	726	Immune
3322323	724	Immune
3209654	682	Immune
3586488	727	Immune
2393888	664	Immune
2394992	683	Immune
1711561	574	Immune
1771236	593	Immune
1960700	616	Immune
2855328	691	Immune
1858287	635	Immune
1677210	702	Immune
2480446	573	Immune
848930	438	Immune
745188	436	Immune
200773	251	Immune
519054	334	Immune
265387	285	Immune
398484	327	Immune
443275	359	Immune
605391	416	Immune
1018023	476	Immune
1224069	509	Immune
1778683	553	Immune
208836	267	Immune
1035638	483	Immune
950678	444	Immune
693692	436	Immune
946606	443	Immune
713769	358	Immune
268406	301	Immune
194126	257	Immune
203071	282	Immune
1302728	511	Immune
1324062	513	Immune
654179	368	Immune
471440	351	Immune
5219441	758	Immune
5705926	798	Immune
6160445	823	Immune
11275585	939	Immune
5318691	783	Immune
3655459	735	Immune
6609863	818	Immune
2367955	631	Immune
3041650	704	Immune
2435337	594	Immune
2450466	609	Immune
2210323	597	Immune
2022170	581	Immune
3731938	673	Immune
737206	441	Immune
599483	479	Immune
2793834	707	Immune
5589980	801	Immune
3586983	688	Immune
4654120	758	Immune
5465202	766	Immune
6354334	821	Immune
2765148	682	Immune
1475242	561	Immune
4346380	701	Immune
7953047	839	Immune
5271414	742	Immune
5467802	821	Immune
3537349	703	Immune
2932126	665	Immune
3458526	679	Immune
285988	313	Immune
371133	346	Immune
322598	328	Immune
297267	366	Immune
451380	371	Immune
486623	425	Immune
355851	398	Immune
216653	297	Immune
811295	468	Immune
555665	412	Immune
372889	364	Immune
534051	418	Immune
202742	329	Immune
179380	300	Immune
489707	437	Immune
195389	315	Immune
300218	403	Immune
473912	422	Immune
667702	494	Immune
438778	422	Immune
752128	477	Immune
582400	436	Immune
257589	343	Immune
533377	392	Immune
7404136	761	Immune
15416050	892	Immune
8766196	905	Immune
10003612	920	Immune
7947130	832	Immune
7661745	884	Immune
8689567	857	Immune
75030744	856	Immune
10737428	695	Immune
9131911	722	Immune
9584446	707	Immune
10631040	760	Immune
10611159	776	Immune
1859977	382	Immune
2423166	404	Immune
4095478	363	Immune
5092962	486	Immune
1972555	405	Immune
5181789	498	Immune
3578436	435	Immune
3232699	392	Immune
3920587	386	Immune
1173734	197	Immune
470329	157	Immune
3410713	677	Immune
3444282	684	Immune
1779137	538	Immune
2134290	573	Immune
3108478	642	Immune
2063772	584	Immune
2405613	635	Immune
1948107	602	Immune
1634245	576	Immune
2752847	637	Immune
2541690	641	Immune
739787	420	Immune
2140564	562	Immune
2294488	594	Immune
2031179	529	Immune
2372302	601	Immune
2520925	610	Immune
2458826	602	Immune
2219537	580	Immune
2757520	643	Immune
2297213	586	Immune
2008534	579	Immune
2113008	577	Immune
2001393	569	Immune
929272	492	Muscle
1145681	554	Muscle
565284	497	Muscle
2951761	651	Muscle
412021	456	Muscle
787176	487	Muscle
712529	463	Muscle
371722	404	Muscle
11633538	668	Muscle
9148869	586	Muscle
3744491	483	Muscle
10833838	836	Muscle
9030247	830	Muscle
8450514	782	Muscle
8997980	789	Muscle
9625762	810	Muscle
5640752	690	Muscle
7780927	749	Muscle
5205791	686	Muscle
879909	528	Muscle
951929	580	Muscle
651809	513	Muscle
1118172	608	Muscle
745676	489	Muscle
1933686	665	Muscle
742119	509	Muscle
550000	497	Muscle
867748	522	Muscle
1871993	631	Muscle
974279	518	Muscle
556413	454	Muscle
7090411	520	Muscle
6575744	521	Muscle
4731993	484	Muscle
11044251	840	Muscle
11958861	862	Muscle
580464	351	Epithelial
626914	357	Epithelial
672172	369	Epithelial
994860	368	Epithelial
550147	316	Epithelial
560735	346	Epithelial
310177	343	Epithelial
257136	346	Epithelial
132231	290	Epithelial
960786	396	Epithelial
542628	378	Epithelial
846724	388	Epithelial
422949	361	Epithelial
333856	355	Epithelial
1209062	464	Immune
1105198	453	Immune
936228	421	Immune
1865595	652	Stem
950901	554	Stem
2857259	671	Stem
1617059	613	Stem
4162749	907	Stem
3749786	899	Stem
2510774	798	Stem
3462442	870	Stem
4428435	918	Stem
2711538	843	Stem
273498	384	Stem
2882315	351	Stem
6656793	850	Brain
3900943	729	Brain
5727184	809	Brain
2764097	674	Brain
7957260	956	Brain
5598555	878	Brain
5460491	888	Brain
8101212	802	Brain
8841637	817	Brain
8972722	839	Brain
25137464	987	Brain
6983858	732	Brain
7112510	701	Brain
5230014	748	Brain
5815384	814	Brain
3368547	707	Brain
6540952	824	Brain
5640466	998	Brain
6389414	933	Brain
513759	443	Brain
5060637	760	Brain
1489157	570	Brain
13080548	685	Brain
3753414	703	Brain
1377343	531	Brain
845537	409	Brain
562431	388	Brain
3449920	543	Brain
4934584	723	Brain
5724791	678	Brain
4189365	696	Brain
5006834	656	Brain
4762208	816	Brain
1482831	643	Brain
1096954	685	Brain
2206976	821	Brain
2493260	846	Brain
1504169	752	Brain
1391084	707	Brain
2412145	840	Brain
7676726	677	Brain
1255997	539	Brain
2465343	544	Brain
6631057	901	Stem
8023830	978	Stem
3943656	836	Stem
6341538	941	Stem
2339580	736	Stem
11113893	1049	Stem
4334133	678	Immune
3652451	634	Immune
2530329	612	Immune
351580	358	Other
111164	240	Other
1357833	567	Other
888929	533	Other
1020522	482	Other
3415209	648	Other
7894826	658	Other
6090154	630	Other
621042	335	Other
775772	378	Other
3168237	531	Other
138810	238	Epithelial
1144512	556	Other
792822	503	Other
2792994	673	Epithelial
372640	478	Epithelial
1309057	635	Epithelial
1321951	476	Plasma
956925	429	Plasma
1706138	305	Plasma
6175190	263	Plasma
7682712	222	Plasma
7206107	118	Plasma
62971	187	Plasma
11441473	968	Plasma
7377761	693	Plasma
9167416	777	Plasma
7114901	757	Plasma
7836885	776	Plasma
208632	353	Plasma
210065	355	Plasma
217383	357	Plasma
155177	305	Plasma
222137	472	Plasma
189513	440	Plasma
148468	383	Plasma
530587	571	Plasma
444480	559	Plasma
464638	570	Plasma
471658	551	Plasma
1736057	650	Plasma
173130	347	Plasma
888778	581	Plasma
1111695	566	Plasma
2587878	595	Plasma
1514772	532	Plasma
2483333	503	Plasma
1056536	497	Plasma
163513	196	Plasma
88474	177	Plasma
507701	262	Plasma
1269419	318	Plasma
1080342	271	Plasma
3356702	268	Plasma
3853487	333	Plasma
1184665	201	Plasma
2920518	284	Plasma
3255584	334	Plasma
1021885	219	Plasma
1158027	190	Plasma
659155	266	Plasma
1499028	318	Plasma
764296	261	Plasma
386637	212	Plasma
120740	162	Plasma
196456	260	Plasma
169112	185	Plasma
183446	162	Plasma
1069604	260	Plasma
157961	175	Plasma
150681	161	Plasma
99708	146	Plasma
836599	207	Plasma
613050	223	Plasma
654052	301	Plasma
287769	237	Plasma
722571	332	Plasma
956927	340	Plasma
2825307	580	Plasma
2938772	584	Plasma
1899011	407	Plasma
2476847	520	Plasma
388759	242	Plasma
386146	224	Plasma
398966	251	Plasma
403018	243	Plasma
476733	174	Plasma
473906	170	Plasma
487783	188	Plasma
494038	176	Plasma
77796	163	Plasma
76332	162	Plasma
77988	162	Plasma
77407	157	Plasma
74035	185	Plasma
73400	183	Plasma
75953	184	Plasma
76571	189	Plasma
136657	191	Plasma
134733	196	Plasma
138139	204	Plasma
135799	198	Plasma
364022	216	Plasma
361618	209	Plasma
372683	222	Plasma
375998	227	Plasma
95725	193	Plasma
94256	192	Plasma
96924	189	Plasma
94852	174	Plasma
83246	174	Plasma
82338	188	Plasma
84211	185	Plasma
83909	189	Plasma
101352	173	Plasma
98377	173	Plasma
102888	175	Plasma
101617	180	Plasma
95759	215	Plasma
90792	207	Plasma
97232	224	Plasma
92428	209	Plasma
77439	169	Plasma
75416	160	Plasma
79352	174	Plasma
79369	171	Plasma
1974058	687	Plasma
668203	487	Plasma
191439	311	Plasma
60843	300	Plasma
98051	338	Plasma
506867	375	Plasma
61711	290	Plasma
798436	444	Plasma
105496	278	Plasma
149860	277	Plasma
138866	331	Plasma
325431	404	Plasma
62071	257	Plasma
85593	311	Plasma
287720	162	Plasma
273837	171	Plasma
285834	164	Plasma
269556	155	Plasma
4026186	207	Plasma
1638034	100	Plasma
2465021	196	Plasma
2760196	183	Plasma
4039022	267	Plasma
2916946	190	Plasma
6930479	236	Plasma
37891872	220	Plasma
2064935	188	Plasma
1223512	138	Plasma
1691242	172	Plasma
4128414	236	Plasma
388518	349	Immune
4373411	626	Platelet
5184653	637	Platelet
5378221	620	Platelet
10062371	757	Platelet
1548499	516	Platelet
1122047	445	Platelet
1577438	523	Platelet
1150975	467	Platelet
1307410	494	Platelet
954542	435	Platelet
3013398	623	Platelet
2208541	540	Platelet
1939078	535	Platelet
1424846	442	Platelet
4259960	510	Platelet
3100875	468	Platelet
355142	371	Fat
1169635	439	Fat
1181094	542	Fat
1662934	476	Fat
898341	526	Fat
1779503	502	Fat
779979	525	Fat
1544320	461	Fat
673280	485	Fat
1550414	475	Fat
1062745	470	Fat
1144971	517	Fat
890142	532	Epithelial
471602	401	Epithelial
205505	340	Epithelial
38819812	1176	Epithelial
50598376	1244	Epithelial
1125449	146	RBC
972505	255	RBC
105151	147	RBC
78435	127	RBC
172730	173	RBC
213770	174	RBC
187678	172	RBC
102561	132	RBC
325951	193	RBC
129257	142	RBC
131518	147	RBC
129379	140	RBC
129595	138	RBC
71377	121	RBC
117272	147	RBC
534724	239	RBC
725438	267	RBC
582239	258	RBC
639984	243	RBC
468373	213	RBC
100061	138	RBC
172124	164	RBC
358582	226	RBC
303166	204	RBC
118293	145	RBC
342483	204	RBC
376801	193	RBC
163414	160	RBC
12940117	555	RBC
12787709	540	RBC
15093685	557	RBC
1268025	574	Epithelial
359008	445	Epithelial
574943	479	Epithelial
423006	465	Epithelial
242769	377	Epithelial
262062	378	Epithelial
484290	534	Epithelial
234702	362	Epithelial
529858	494	Epithelial
10734681	898	Epithelial
10372133	892	Epithelial
10797099	911	Epithelial
925712	475	Epithelial
8079351	827	Epithelial
7803129	800	Epithelial
8120194	822	Epithelial
697223	479	Epithelial
11058908	963	Epithelial
10691804	967	Epithelial
11139903	980	Epithelial
952682	540	Epithelial
3462286	729	Epithelial
3617102	735	Epithelial
306280	427	Epithelial
6859382	919	Epithelial
6600914	895	Epithelial
6879115	917	Epithelial
585015	514	Epithelial
6090911	858	Epithelial
5840672	829	Epithelial
6114566	851	Epithelial
516571	454	Epithelial
3601598	742	Epithelial
755985	548	Muscle
350025	437	Muscle
521148	500	Muscle
554137	473	Other
756336	480	Epithelial
675613	479	Epithelial
738886	449	Epithelial
710614	447	Other
1418043	492	Other
1118769	654	Epithelial
674644	517	Epithelial
433775	405	Epithelial
780814	492	Epithelial
122355	285	Epithelial
844086	558	Epithelial
1688336	592	Epithelial
165510	397	Muscle
311401	354	Muscle
866079	481	Muscle
581486	427	Muscle
1624300	616	Muscle
2628895	478	Muscle
718078	360	Muscle
1233979	373	Muscle
2453614	462	Muscle
3360245	495	Muscle
1896618	388	Muscle
1945346	605	Muscle
1071863	464	Muscle
1952564	478	Muscle
665260	485	Muscle
789639	491	Muscle
667211	510	Muscle
297240	358	Muscle
339730	391	Muscle
465868	454	Muscle
501590	457	Muscle
591254	476	Muscle
484951	437	Muscle
329626	380	Muscle
359059	377	Muscle
406329	477	Muscle
1139411	476	Muscle
926480	464	Muscle
1777504	386	Muscle
716355	494	Muscle
746805	467	Muscle
756104	520	Muscle
1049947	501	Muscle
125274	330	Muscle
585815	457	Muscle
566973	333	Muscle
704748	406	Muscle
1594471	570	Muscle
753239	431	Muscle
587646	441	Muscle
296775	357	Muscle
1078584	460	Muscle
608578	530	Muscle
639598	442	Muscle
4940449	818	Muscle
5569628	810	Muscle
4938871	881	Muscle
3712836	676	Muscle
4217345	729	Muscle
4986268	813	Muscle
955990	454	Muscle
1589660	513	Muscle
246575	463	Sperm
469079	527	Sperm
95103	358	Sperm
145585	405	Sperm
142121	401	Sperm
469021	527	Sperm
246561	463	Sperm
95095	358	Sperm
145555	405	Sperm
142082	401	Sperm
335660	463	Sperm
219055	478	Sperm
205952	448	Sperm
108586	404	Sperm
142786	419	Sperm
117502	388	Sperm
76734	356	Sperm
136909	410	Sperm
96515	366	Sperm
84981	365	Sperm
73030	327	Sperm
278691	508	Sperm
126466	402	Sperm
57166	345	Sperm
99013	365	Sperm
180130	423	Sperm
84650	359	Sperm
93988	364	Sperm
98532	379	Sperm
79605	325	Sperm
124451	418	Sperm
135251	414	Sperm
153995	399	Sperm
149617	406	Sperm
203172	469	Sperm
132249	442	Sperm
283577	520	Sperm
285999	464	Sperm
189557	495	Sperm
103905	384	Sperm
86263	394	Sperm
56806	330	Sperm
88568	388	Sperm
254209	485	Sperm
170474	432	Sperm
105666	381	Sperm
92730	386	Sperm
93221	389	Sperm
98150	365	Sperm
186411	462	Sperm
76632	375	Sperm
85539	301	Sperm
138241	396	Sperm
196489	461	Sperm
85678	380	Sperm
139740	415	Sperm
235792	474	Sperm
117856	393	Sperm
209472	470	Sperm
184734	432	Sperm
365076	514	Sperm
180577	444	Sperm
284064	463	Sperm
208824	443	Sperm
393561	469	Sperm
102486	370	Sperm
107884	359	Sperm
143679	398	Sperm
137919	353	Sperm
97804	360	Sperm
72476	346	Sperm
109955	365	Sperm
163574	442	Sperm
128202	352	Sperm
131858	425	Sperm
114284	387	Sperm
139380	420	Sperm
141407	408	Sperm
92488	367	Sperm
125436	380	Sperm
57609	304	Sperm
60805	339	Sperm
136751	428	Sperm
58791	333	Sperm
55887	322	Sperm
96804	329	Sperm
69776	344	Sperm
81719	349	Sperm
115921	410	Sperm
76691	344	Sperm
224451	437	Sperm
132293	385	Sperm
103244	351	Sperm
156461	388	Sperm
56974	242	Sperm
432073	404	Fibroblast
71313	255	Fibroblast
72805	259	Fibroblast
729369	381	Fibroblast
1398932	412	Fibroblast
975253	375	Fibroblast
8493540	484	Stem
9214065	472	Stem
7444557	544	Stem
8281857	523	Stem
10365029	491	Stem
9550837	601	Stem
472036	458	Fibroblast
424549	450	Fibroblast
401382	459	Fibroblast
310106	416	Fibroblast
1695663	528	Other
1307802	516	Other
1350804	480	Other
478991	199	Immune
244498	180	Immune
264550	179	Immune
185733	173	Immune
834637	205	Immune
838367	214	Immune
2995181	509	Epithelial
35375405	901	Epithelial
25789744	890	Epithelial
392133	175	Immune
1108374	214	Immune
3544106	705	Immune
3763638	659	Immune
4915100	702	Immune
4739750	707	Immune
2782933	644	Immune
626085	291	Immune
639071	292	Immune
618725	298	Immune
636992	293	Immune
1960657	539	Immune
1904331	546	Immune
1934158	569	Immune
1934425	544	Immune
2326405	557	Immune
2249400	537	Immune
2296291	557	Immune
2280322	553	Immune
4466211	539	Immune
4343211	542	Immune
4405351	555	Immune
4388015	548	Immune
3049554	500	Immune
2958166	503	Immune
3001933	508	Immune
3004566	519	Immune
776210	555	Other
371750	463	Other
1655215	633	Epithelial
527975	476	Epithelial
23618239	890	Stem
5781374	640	Stem
9609902	690	Stem
5577444	643	Stem
16981282	735	Stem
8140396	665	Stem
6322688	574	Stem
3876993	569	Stem
6825269	591	Stem
7087507	610	Stem
2001440	443	Stem
112124	276	Epithelial
540757	450	Epithelial
565625	450	Epithelial
3592740	807	Stem
4241396	819	Stem
2631698	754	Stem
4926987	862	Stem
5928516	764	Stem
5138741	758	Stem
36518581	1004	Immune
42253209	966	Immune
54214208	978	Immune
50404504	900	Immune
49079109	1043	Immune
45344189	965	Immune
27001502	982	Immune
25954552	792	Immune
31529754	977	Immune
34464795	1010	Immune
45381392	950	Immune
49698053	1076	Immune
64616663	961	Immune
37745439	915	Immune
9612123	794	Muscle
14499697	869	Muscle
10271784	822	Muscle
14093755	893	Muscle
9292060	850	Muscle
9452748	859	Muscle
16592319	931	Muscle
13056975	923	Muscle
17916208	901	Muscle
7984324	758	Muscle
21740796	930	Muscle
19782093	917	Muscle
2736825	497	Epithelial
2747620	519	Epithelial
2741248	494	Epithelial
2203008	468	Epithelial
2744815	473	Epithelial
2736390	486	Epithelial
2736150	498	Epithelial
2737729	497	Epithelial
2370545	468	Epithelial
2752945	502	Epithelial
2744468	504	Epithelial
2740278	520	Epithelial
3247661	515	Epithelial
714197	335	Epithelial
3252729	514	Epithelial
3254068	514	Epithelial
3247666	511	Epithelial
757755	348	Epithelial
3258924	538	Epithelial
3259193	512	Epithelial
3257504	521	Epithelial
3254206	521	Epithelial
3511685	620	Epithelial
16098992	470	Epithelial
15648233	463	Epithelial
12823163	483	Epithelial
16481899	522	Epithelial
17540656	474	Epithelial
13378722	441	Epithelial
11328364	495	Epithelial
15567855	481	Epithelial
10661585	417	Epithelial
12145277	259	Epithelial
11919386	295	Epithelial
8444961	229	Epithelial
7642521	170	Epithelial
18735257	363	Epithelial
18666846	528	Epithelial
18626744	323	Epithelial
18792863	456	Epithelial
9624509	224	Epithelial
13099315	344	Epithelial
14960295	381	Epithelial
14015415	320	Epithelial
15100790	293	Epithelial
18985194	520	Epithelial
15803781	350	Epithelial
13354517	387	Epithelial
17398643	337	Epithelial
14377743	285	Epithelial
11257886	730	Epithelial
6098828	712	Epithelial
8838488	780	Epithelial
9367544	839	Epithelial
7550397	558	Epithelial
11291372	571	Epithelial
17696322	883	Epithelial
10293014	728	Epithelial
6405093	742	Epithelial
2921454	701	Epithelial
9032973	706	Immune
1515812	761	Stem
1404377	749	Stem
1862957	863	Stem
1480896	747	Stem
8524516	1062	Brain
2984613	826	Brain
3717279	834	Brain
5575632	906	Brain
4528179	830	Brain
5261041	945	Brain
3842452	841	Brain
9916821	1050	Brain
12018928	1112	Brain
10854688	729	Other
11020984	760	Other
43766461	909	Epithelial
16206575	739	Epithelial
2919542	458	Fibroblast
2908875	462	Fibroblast
2797531	440	Fibroblast
2856223	460	Fibroblast
3069621	465	Fibroblast
2958095	455	Fibroblast
