miRNA,DRR041355,DRR041393,DRR041447,DRR041467,DRR041473,DRR041487,DRR041493,DRR041504,DRR041511,DRR041517,DRR041527,DRR041530,DRR041536,DRR041554,DRR041575,DRR041578,DRR041592,DRR041616,DRR041620,ERR747965,ERR747966,ERR747967,SRR10259195,SRR10259196,SRR10259197,SRR10259198,SRR10282881,SRR10282882,SRR10282883,SRR10282884,SRR10282885,SRR10282886,SRR10282890,SRR10282891,SRR10282892,SRR10282893,SRR10282894,SRR10282895,SRR1044598,SRR1592244,SRR1592245,SRR1592246,SRR1592247,SRR1592248,SRR1592249,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,SRR5127232,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR7545527,SRR7545528,SRR7545529
hsa-miR-20b-5p,-6.389641911,-7.143856522,-7.159106643,-7.6829801,-7.44840862,-7.36628225,-7.535968413,-7.355865099,-7.531577133,-7.313048083,-7.303002452,-7.700580624,-7.449301866,-7.119104501,-7.452806173,-7.693408087,-6.731698775,-7.62215453,-7.436378297,10.06551531,9.75527913,9.918564153,10.01120734,9.995159437,9.948924593,9.4963845,1.330745981,-0.492114968,0.439876636,-0.354702006,-1.235454303,-1.870703317,3.054654236,1.785765509,-0.140011846,0.045105288,-2.526111953,-7.269287884,11.36140031,5.491903061,4.688248211,4.392216451,3.543298862,2.296139796,4.362870085,9.458376681,9.74396692,11.4534705,7.762617311,10.22269432,11.61520624,7.204820144,4.28819802,1.132395228,3.242210459,4.405380488,4.071366988,1.784401152,5.566668083,2.930115757,2.104959388,5.345455736,3.140173199,1.183730596,3.184724462,6.418323681,5.722444674,6.665741586,4.891662377,4.734058506,3.495938324,4.274848481,6.282120792,6.171230123,4.297329112,6.497892818,4.980176157,4.749229554,11.28629874,11.38772018,11.6869545
hsa-miR-19a-3p,3.304887399,-7.143856522,3.634947254,6.270323324,6.339023329,7.329909655,4.504077099,6.370854897,7.105093566,4.145479321,4.825684299,5.351543132,3.596182308,5.207788314,6.500962942,5.494342833,7.20079617,7.136053217,3.467068102,2.615117411,-6.924987589,2.347443089,8.41952869,7.875590397,7.959383503,7.286051404,11.26446641,11.04945441,10.88445701,10.52136805,10.18019663,9.921502197,12.11529533,11.92945711,10.28691225,10.0785113,11.02770051,10.76542227,12.71477724,5.870651812,1.97305534,2.699314947,1.746450391,0.141727409,4.211030264,9.448581673,7.471942562,9.703047573,5.17129446,9.494353393,11.94405882,10.16425879,7.013901606,4.970166623,6.709960069,7.008211438,8.252270913,6.526468062,8.48531964,6.474967086,5.73722768,6.322751126,6.577068092,4.538283228,4.939179996,8.340300585,8.83811832,8.710103245,9.340475811,8.693786062,6.455589983,8.046491314,7.649855349,8.154951452,6.337723419,8.345712772,7.569033028,4.881195553,13.42741463,13.62194798,14.17713399
hsa-miR-424-5p,10.7987186,6.510382526,10.39025833,11.95009674,11.82541774,11.41904643,11.41238519,10.46845784,11.97563594,11.21821726,8.025340901,9.91601435,7.317150067,9.782589223,9.684928715,9.482466503,8.026123,9.35450995,8.664634881,-0.082740743,-6.924987589,-0.874305606,7.56217475,7.00434144,7.265336314,5.955673524,4.330051793,4.320285095,5.408880675,5.188223005,5.630715098,5.997375725,7.13977199,7.052680072,7.539757307,7.234855492,6.519132982,6.274835235,-4.577468404,-3.390791734,-7.615541974,-7.211623991,-7.088311789,-6.827160607,-7.427519142,5.213106754,3.384364588,5.811660235,-5.315317881,3.269841908,7.159883258,3.32245514,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,0.879676463,-3.096665973,-3.38034997,1.036054258,3.620415686,4.64273993,3.032800973,2.961306535,1.610270883,-3.872402671,1.488636846,2.987927746,-3.409977493,2.285452604,-4.259418591,-3.63305617,10.45905471,10.62455235,10.78964777
hsa-miR-149-5p,6.301852655,10.31997676,7.403465334,6.768512075,7.272163579,6.401487814,8.182450772,8.785236226,6.294315136,7.948610043,7.786698395,5.514882792,5.317273363,2.672035289,4.483823574,5.52069812,5.435871262,8.101286042,7.679637826,-7.053915196,-6.924987589,-7.075170805,-8.842138975,-4.075856196,-8.609230104,-10.75351022,-2.409703245,-7.104057478,-7.630182649,-7.322773593,-7.422508833,-7.01798074,-0.810915231,-2.282215151,-7.705929614,-7.24384051,-7.630182649,-7.269287884,-4.577468404,-2.086999186,-7.615541974,-7.211623991,-7.088311789,-6.827160607,-7.427519142,-6.817691359,-6.544471612,-7.191106501,-5.315317881,-6.90703448,-7.700580624,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,-3.602580094,-7.04012982,-2.683660825
hsa-miR-125b-1-3p,9.977688521,7.762818834,10.2350044,11.99783138,10.95776419,11.97204583,10.82459882,10.07838229,11.85667894,10.7125028,10.74651604,10.55538642,11.10557742,12.52281044,12.91536567,10.11373414,9.102821075,10.34310021,9.943789345,-7.053915196,-6.924987589,-7.075170805,-8.842138975,-8.952872018,-8.609230104,-10.75351022,-7.523659852,-7.104057478,-7.630182649,-7.322773593,-7.422508833,-7.01798074,-8.326650681,-7.936804247,-7.705929614,-7.24384051,-7.630182649,-7.269287884,-4.577468404,-7.760884351,-7.615541974,-7.211623991,-7.088311789,-6.827160607,2.903851175,2.304650595,-6.544471612,-7.191106501,-1.771205404,2.074061672,4.319078689,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,-7.102790957,-7.04012982,-7.112861251
hsa-miR-410-3p,6.677766482,8.509058901,9.832484866,10.29340115,10.30098552,9.924839216,10.55857159,11.02111722,9.791875679,10.26508352,10.26704035,8.3996547,8.915239713,7.629895101,8.489638178,8.313217626,5.935178531,8.543253878,7.915662788,8.999748486,8.952903987,8.798115454,7.818479353,7.866248159,8.859067754,8.0004189,11.78404788,11.60698289,11.58700827,11.38881118,11.85193339,11.65942,12.82878752,12.69722446,12.16819727,12.02716806,11.69252816,11.54288438,-4.577468404,8.583755397,8.457724244,7.567873031,8.036032478,7.66015066,9.346656607,-6.817691359,-6.544471612,-7.191106501,-5.315317881,-6.90703448,4.319078689,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,-7.102790957,-7.04012982,-7.112861251
hsa-miR-210-3p,9.037157903,5.431756185,8.774170914,4.334203742,9.133265723,1.942825306,8.581109981,4.218774347,0.539725607,9.334729627,3.654528371,8.420265104,9.661991099,5.170636177,-0.167245679,8.945679978,5.935178531,4.24596014,7.605277592,4.361696746,2.844523423,3.391700132,9.018914591,9.184779221,8.766473089,8.552056245,4.917418041,4.023635182,5.006355335,4.137254826,5.910919783,4.551449954,5.423937059,4.605581543,4.314475977,5.070902476,3.064747155,1.402746837,7.994737265,7.745078291,7.593528412,9.002270409,5.304516115,5.122971912,7.493101056,11.64964458,11.96240839,12.88349587,10.29862364,12.34574747,13.28904781,8.427519704,2.475196741,2.279151366,5.221298165,6.255088368,6.133627824,5.371743733,5.868273443,4.546440985,5.086857102,2.91145749,3.888113821,3.415047779,4.13405685,7.899456393,7.854791795,7.539396803,6.950967928,6.030939337,4.684213381,6.274094552,6.943785409,5.796917718,4.469318707,6.306184806,6.967485616,6.03844033,8.106223413,8.798584408,8.175378351
hsa-miR-136-3p,9.491671085,8.949628149,10.90440145,11.14498254,11.16747308,11.00780386,11.14553846,10.43650254,10.32891157,11.22701021,9.776262593,10.18779651,9.6297925,9.756770742,10.19448761,9.861321761,8.599827578,8.88848565,9.839472297,3.142373573,3.058330953,2.070555212,7.901897332,7.970450562,8.737157512,7.700024831,10.59699238,10.3630119,11.13875232,10.94071805,10.26886831,10.17336728,11.96054272,11.63938914,11.03037301,10.8353475,10.38043227,10.23685686,-4.577468404,4.356375022,4.15299741,2.80508022,3.620665278,2.930263532,5.303252424,-6.817691359,-6.544471612,-7.191106501,-5.315317881,-6.90703448,-0.134430673,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,-7.102790957,-7.04012982,-7.112861251
hsa-miR-221-5p,10.32297776,9.514867786,9.979313763,11.00744959,10.91615681,11.43620121,10.68226161,8.415954494,11.21489985,9.721842113,10.34515312,11.36558289,10.87771524,11.83077208,11.9275887,10.56564623,9.958620251,9.407172487,12.34617172,5.806643059,5.467313427,5.790318754,7.57980316,7.433208621,7.52196917,7.342301164,5.494797067,5.462964444,5.491888345,4.930243145,6.755381547,5.917379114,6.77447065,7.063722752,6.6493445,6.186357859,7.894324385,7.754836202,1.036054258,5.892188264,2.823451719,2.906352827,2.584241091,2.296139796,2.609442063,-6.817691359,-6.544471612,-1.47580796,-5.315317881,-6.90703448,0.791380268,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,5.463955643,6.107459337,6.700465138
hsa-miR-194-5p,0.563441506,0.68788561,0.415151841,-0.406253077,-1.748037011,-2.956020887,-0.25296067,0.71514521,-2.418318853,0.974387287,-1.59346965,-0.748674563,-7.449301866,-7.119104501,-0.851636846,-2.012983429,-0.527247365,2.905337993,0.635155632,-0.852549513,0.045412028,-0.874305606,9.058195347,8.385669794,8.673529301,8.023502445,4.377604741,3.893100344,4.715226938,4.022237755,5.518746484,5.250620684,5.240819946,4.413426229,5.637653259,5.797687456,9.779763911,9.562392218,-4.577468404,-0.197536908,-0.658713799,-0.601811635,-7.088311789,0.141727409,-0.141321461,12.12541964,11.92301617,13.29343797,9.534766181,12.69901889,12.88971726,9.188284247,4.908125631,4.494357298,7.044713234,7.27585098,7.402773412,5.487275223,8.055783065,5.863160287,5.999768014,6.524207496,6.250531242,3.688493687,5.983587096,9.220325031,9.45417572,8.825240854,9.373983781,8.507097915,6.644060136,6.662380371,8.458529553,7.587270395,6.043261298,8.235557257,7.968076547,6.03844033,11.17281857,11.31289707,11.44559942
hsa-miR-501-3p,4.782394396,6.10157574,9.047336285,8.926778365,7.383991135,7.08335762,8.04962701,8.579439725,7.501207104,8.727773551,8.077823991,9.504556364,9.988301525,8.687833212,8.500213695,8.702831849,8.413525664,9.688589397,9.236876335,4.900287572,4.727204299,4.926224459,5.806830355,6.030139739,5.721917747,6.021384907,10.03878296,9.815598456,8.043012649,7.502867203,9.433255817,9.144108097,10.09164229,9.987373492,9.22476992,8.831994719,12.60751232,12.34971442,6.902388373,10.23574075,7.152585052,7.689161248,5.571492631,4.756103598,6.46656298,8.732592168,8.312357935,9.264354302,6.505457423,9.327610301,9.377044402,4.558836533,-3.421794909,-3.15398837,3.242210459,2.437727183,3.451798074,3.900101208,3.777442376,2.146488468,1.59233372,3.224327399,1.524352448,-3.096665973,1.57234325,4.411908828,4.594687506,4.838819999,4.148569658,4.236307441,-3.337143729,-0.384691992,4.031828317,3.428698286,0.902208275,-0.06207897,4.654292079,3.257045139,9.416504966,9.736692878,9.750457943
hsa-miR-370-3p,6.766679064,5.150941363,6.18328324,7.067911297,6.521816412,6.54846209,6.639155258,6.709120049,6.008485452,5.971971912,7.484572509,6.124147661,6.431871455,6.960586614,7.060493515,4.987723203,3.599195743,7.477019107,6.168056437,4.247930952,3.520612475,4.230303112,11.43477473,11.50538292,12.12479193,11.42754474,8.001115481,7.241951246,7.995022374,7.290114325,5.981208964,6.289424271,9.702106992,9.288422741,8.006724182,7.403384099,7.754550001,7.279220516,-4.577468404,6.911309735,7.4327029,8.029625583,7.497989713,6.314963801,7.90574381,-6.817691359,-6.544471612,-7.191106501,-5.315317881,-6.90703448,0.791380268,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,-7.102790957,-7.04012982,-7.112861251
hsa-miR-125b-2-3p,6.245828257,9.30948618,6.378713505,7.75886729,7.625389495,7.823122874,6.607021328,7.117084274,7.549544504,5.87364452,6.85862028,9.748352574,5.889987382,7.949846189,8.621390082,9.667336719,7.960311268,6.389273279,9.042829634,-0.441326863,-6.924987589,-0.874305606,-2.042961899,-8.952872018,-8.609230104,-2.01633436,5.319118893,4.48103481,2.083083846,2.24850922,2.155652308,1.044070934,4.369922187,4.33164255,2.350259419,2.057391333,1.828496781,1.737930045,-4.577468404,0.526475286,0.876866057,0.077472607,-7.088311789,-6.827160607,1.063124185,-6.817691359,-6.544471612,0.641572444,-5.315317881,-6.90703448,-7.700580624,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,-1.959628469,-7.04012982,-7.112861251
