miRNA,SRR5127209,DRR041368,SRR5755916,SRR5755923,DRR041467,SRR7062776,SRR7062777,SRR7062778,SRR7062779,SRR7062780,SRR7062781,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR5755902,SRR5755909,SRR5756067,SRR1044598,SRR1664897,SRR5756074,SRR5756081,DRR041517,DRR041536,DRR041511,SRR5756000,SRR5756007,SRR5756088,SRR5756102,SRR5127232,SRR5128192,SRR5128189,DRR041575,SRR5127234,DRR041493,DRR041447,SRR1988299,SRR1988300,SRR1988301,SRR1988302,SRR1988303,SRR1988304,SRR1988305,SRR1988306,SRR3199257,SRR3199258,SRR3199259,SRR3199260,SRR3199261,SRR3199262,SRR1988291,SRR1988292,SRR1988293,SRR1988294,SRR1988295,SRR1988296,SRR1988297,SRR1988298,DRR041473,SRR5756109,DRR041355,DRR041527,SRR5833905,SRR5833903,SRR5833902,SRR5833904,SRR5127214,SRR7545527,SRR7545529,SRR6283108,SRR6283109,SRR8478257,SRR5755825,SRR5256882,SRR5256883,SRR8478258,SRR8478259,SRR5755895,DRR041534,SRR5755958,SRR5755972,SRR5755986,SRR7545528,SRR5128191,SRR5128194,SRR5128190,SRR5128193,SRR5755930,SRR5755937,SRR5755944,SRR5755951,DRR041554,DRR041487,SRR5256874,SRR5256875,SRR5256876,SRR5256878,SRR5256879,SRR5256880,SRR5256881,SRR5755860,SRR5755965,SRR5755979,SRR5755993,SRR3199254,SRR3199255,SRR3199256,SRR5756060,SRR5756095,SRR3996364,SRR3996365,SRR3996366,SRR3996367,SRR3996368,SRR3996369,DRR041393,DRR041422,DRR041436,DRR041443,DRR041450,DRR041470,DRR041504,DRR041530,DRR041578,DRR041592,DRR041616,DRR041620,SRR1777161,SRR1777162,SRR1777163,SRR1777164,SRR1777165,SRR1777166,SRR1777167,SRR1777168,SRR1777169
hsa-miR-1287-3p,6,0,0,0,0,8,5,12,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,32,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,11
hsa-miR-1287-5p,316,13,0,0,8,73,125,155,86,91,147,12,34,56,7,0,0,0,0,78,3,0,8,4,5,0,0,0,0,74,172,91,5,594,4,4,36,78,73,59,89,42,64,45,81,191,76,215,98,99,52,58,40,56,17,12,35,31,3,0,0,11,367,514,539,395,237,19,17,37,28,392,5,18,17,0,0,0,4,0,0,0,15,64,345,173,183,0,0,0,0,4,5,6,76,40,185,36,18,4,0,0,0,8,49,151,120,0,0,22,16,35,31,41,53,6,12,2,4,9,7,0,2,5,0,2,4,165,67,83,93,38,74,60,415,508
hsa-miR-1288-3p,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,5,0,0,0,0,0,0,0,3,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,13,15,7,19,7,20,35
hsa-miR-1288-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1289-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,5,0,4,0,12,10
hsa-miR-1289-5p,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,49,0,0,8,10,8,6,0,6,9,0,17,13,0,18,6,0,8,2,5,0,0,3,0,11,0,0,0,0,0,0,0,0,10,0,0,9,9,0,0,0,5,0,0,0,0,0,0,0,0,4,7,0,4,0,0,0,0,0,0,0,14,5,0,8,5,0,0,0,0,0,0,9,7,0,0,0,0,3,2,0,2,0,3,0,0,2,2,0,0,0,0,0,0,31,8,24,15,8,19,8,19,25
hsa-miR-129-1-3p/129-2-3p,5748,0,0,0,0,26,54,43,26,20,23,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,3,837,1309,8,5915,22,6,783,655,600,843,442,150,257,219,14,48,115,506,91,89,134,145,174,146,211,229,292,249,24,0,12,0,536,518,1627,810,52,4,0,13,40,163,0,8,51,337,308,0,0,0,0,0,2,45,150,223,1402,0,0,0,0,0,0,42,359,74,544,151,49,37,0,0,0,0,108,81,21,0,0,0,0,0,0,0,0,31,44,0,8,7,15,0,36,19,4,0,14,6010,2167,860,647,1012,2147,1069,2386,4623
hsa-miR-129-5p,9934,0,0,0,10,22,78,75,48,41,76,2,0,0,0,0,0,0,0,3,0,0,7,0,7,0,0,0,0,0,5385,10319,0,17174,24,19,1419,1890,1944,2045,925,533,752,630,348,596,580,1323,969,602,263,296,384,334,262,270,357,330,21,0,14,0,1884,1721,7437,2679,63,0,0,4742,855,2176,0,73,322,800,943,0,0,0,0,0,0,558,2500,2069,7762,0,0,0,0,0,0,116,879,284,2002,595,198,98,0,0,0,0,155,284,167,0,0,3,0,8,4,3,3,5,40,2,5,5,16,0,0,0,0,0,0,94761,16386,7053,3861,13804,29733,11127,29088,54902
hsa-miR-1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1291,26,0,0,0,0,0,6,8,5,3,10,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,28,0,24,2,2,9,8,0,0,0,0,0,0,9,26,12,39,24,6,9,9,9,0,6,0,11,0,0,0,0,0,269,203,171,188,10,0,0,5,12,139,0,0,0,60,136,0,3,0,0,0,0,32,76,46,56,0,0,0,0,0,0,0,15,8,70,15,0,0,0,0,0,0,9,7,13,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,40,15,16,17,9,19,18,21,57
